,arousal,valence
04aAxqtGp5pv12UXAg4pkq,0.6036824061546011,0.6633746131217504
2TfSHkHiFO4gRztVIkggkE,0.6337203065057794,0.6169206752973562
3Zwu2K0Qa5sT6teCCHPShP,0.5846381021101881,0.5669079391991959
0a7BloCiNzLDD9qSQHh5m7,0.694107459739587,0.6772763027769428
3Te8uLyit6X3ncNW8Fp3K2,0.5818999032861039,0.6141148269346692
7lRlq939cDG4SzWOF4VAnd,0.7278625329718915,0.70309342762249
5wQnmLuC1W7ATsArWACrgW,0.729736532674592,0.7274218273540329
5dTHtzHFPyi8TlTtzoz1J9,0.6229596708390048,0.5891269558564041
7j31rVgGX9Q2blT92VBEA0,0.6486020418684374,0.627655288231231
4RAOI1etsgbh5NP3T5R8rN,0.6747489449480853,0.6983227857672638
2d6m2F4I7wCuAKtSsdhh83,0.6169530466764388,0.6023273352214593
5BB0Jzw60KyfSTyjJqtely,0.6802899140852995,0.6830731331178697
3HyDpKAuR3e4l6QB7hSB2l,0.7719702218180926,0.7342802120832919
3gmEzilP9BzF45wIMvA16l,0.5527420339442906,0.5639027469939286
5l3gAGbkXFfPWxh4a3J8mp,0.6080048780143602,0.6450680386293239
4DveRhd1VBtZyPodE3sbLj,0.6390785374841188,0.631593558682583
6ubqrTIJwspBSqx8XQHN2K,0.5966638099936504,0.5782901622710257
4ImIJRZNJhNQLLdUFSYJoS,0.6566989182724334,0.6334597194572948
0hTiTU0yqthnByyZDD3bcc,0.7166453899533038,0.7002842415733246
3asFGFY3uLjMDmML1p0tYm,0.7189111875801754,0.7053286547404971
3iWlbqAaoIR7H7gyO3a6rV,0.5004749644928514,0.5054661847756796
0faXHILILebCGnJBPU6KJJ,0.6775589709910209,0.6578079074307247
5anCkDvJ17aznvK5TED5uo,0.765111774407626,0.703815712122377
0iPjp13sbUXgjCgHiJBxCg,0.5235068993883596,0.543191299833206
2YC6ET3q1F29B0V7UcPV70,0.6212462243940511,0.612679566725028
66Avcq6c51vcMGXLzHH5d7,0.5539634220765015,0.5683963847773865
5hheGdf1cb4rK0FNiedCfK,0.6466606349856585,0.6146063676922374
3iSws76HjaU7k49EqJVTfF,0.5165564535321313,0.5101121222041773
6fuvYxKEvU4inG8eTB2nYi,0.6854772807777963,0.6458649189501975
7s25THrKz86DM225dOYwnr,0.6726442806294726,0.673507877335045
3yrSvpt2l1xhsV9Em88Pul,0.6123484093363436,0.5867589706266333
6VojZJpMyuKClbwyilWlQj,0.6932693960169508,0.6767468648453883
2jg4Yc8071puvDRYi22B3a,0.6715773338899031,0.7039036999840343
6sPOmDulFtLzfX25zICNrC,0.637137139559279,0.6609450457424283
6dGnYIeXmHdcikdzNNDMm2,0.6314044018953816,0.6670621360203619
0PGwM5vdr5fMejx0IIAYXj,0.6237298044599648,0.6353380607478492
2g2GkH3vZHk4lWzBjgQ6nY,0.6268980979082194,0.6526134792648375
4TBBPZks71c60whhq0PgdP,0.5272959729556679,0.5201800474292709
241RmK77gecJ1y7jOoQ5lu,0.7100597297307734,0.681652754946461
2G2YzndIA6jeWFPBXhUjh5,0.6603657757874652,0.6596711443607467
5uES1C2NgkdrNHiCwf9jRr,0.5808124545747335,0.5719072521922444
1udKn1oNKYQSQ9OmiIWCMu,0.7101744117415428,0.669505988952542
0NpvdCO506uO58D4AbKzki,0.5230090960921909,0.578649870477414
50uGbeaQIxKiSc7jvRTjWx,0.46107102676469314,0.5395555511086534
1CSLeVCXmetBh8IkTPMFdL,0.6247347483838896,0.6545307646427454
4C76SOnBa9eQDwOwe11hPz,0.6248958574790899,0.6637317380948353
1JO1xLtVc8mWhIoE3YaCL0,0.6148190977074535,0.6100339375302597
0iOZM63lendWRTTeKhZBSC,0.5946889168565084,0.5730901442700765
7haFcQaoTBr2qY6G0r4JSH,0.6505092450813835,0.7111420452627478
01gwPP2h3ajRnqiIphUtR7,0.5597205077594821,0.5603033270960783
0CPwNXw5qD9588d86nropo,0.6996787338602384,0.7145330829568319
7lL2lMWNtzOcf5HnEudNgn,0.5739196596589127,0.5426424518896709
3YM4s7iD4LLkPcmdCztWdd,0.5171645658456981,0.5441561126150803
4tMxTsEPybFSX1dq7BOC4K,0.6085431101060145,0.6655845774147555
7gEpTMp9MQc1uJwivtL37R,0.6552605537928553,0.6379940965920979
5MMU5J8jtVDZiryukBeruJ,0.4461112148739246,0.4495169414115773
23xk9Rf7oIHVUU1JvmXYFn,0.6623589811643764,0.5978068615160165
3VgrSJEKBRT3xmwzpaxxEF,0.5858220855106162,0.6277235855089813
5usNPz6U1acDrkUYekGYDY,0.684341961420122,0.6825474081058005
4An0hbjs1THl9cQprYrN6G,0.6362461252981628,0.5943919357891353
6vcG9EgeqJUSmmF65lxUm6,0.5444438778081465,0.6041713227933222
7uEcCGtM1FBBGIhPozhJjv,0.6339342034867234,0.5676581602616703
3z6m2FukK7Vd5xYrjOLDLR,0.5767227707644074,0.6083177840408153
11npGmmHAsN9i11Vcnwtko,0.6794363502558147,0.6739598778224942
2EDYchd8hhwAOWKGQxJoro,0.44019449142013123,0.4518612215858303
1o8uhyTXqJRY24UQ7Eli5r,0.4356187553999077,0.4739203147553209
4omnfKQRBPbu7XuFpjcj2l,0.42087439785732317,0.46783883916233715
5Iy1wdO0tMaHwKnfFYtlel,0.4781369670646106,0.4771231210796796
5baXzOMmD0sf26hayRqfqI,0.4226056075441088,0.42710876190811176
5egqT30FDjvOd8xMNiFGRs,0.49019708215978297,0.5322955415138023
0R8P9KfGJCDULmlEoBagcO,0.6696556056632297,0.6372209301636819
7JULSGjicRWm1G6ttTguug,0.5604093444888703,0.5948437119538107
04rMpRstoJt3uvqyNGKczX,0.5347078021962577,0.5534779719520971
1tE5mzhlIfukMfLqu0U6tf,0.3923585129701873,0.4566461597122743
3GnXR8uG3BlYRjkx9PSAlr,0.40309169168688863,0.4384634836338751
4bPkBHKLKd9WHizsvM2zV3,0.6394789603379616,0.6213129960920145
7fkXzzIVo98CgjOkpd9H0V,0.39443201918698156,0.42301388465592793
4i6LmGukU7aH3mrDmjPAtE,0.37108932414830564,0.4543583095563539
0LMxT31f4DZgeeakeRbW38,0.4341191792050787,0.5194415395733081
0eRw1thpWDU7tFt6NfVU4C,0.5796566873901134,0.5843724212294368
7LwGBxB0h0CVmkOZxYKn0g,0.6097903811046396,0.6307266102862013
1au9q3wiWxIwXTazIjHdfF,0.5105986203745082,0.5539205773768762
0vFJC16vkmxDqh5K2Hv5y6,0.4450470169259656,0.48649115035564516
7LVHVU3tWfcxj5aiPFEW4Q,0.7071186277631841,0.6046717752181732
7Cia4WzapwjMr0NUQF8vf3,0.5524301671526098,0.628761184935131
5MzXUNfn8AAcz4Z6j2KgTK,0.5751596192860933,0.585404070716017
22uzF19LxQW87kOVkR79Fq,0.49711888021107686,0.535240269319273
5y2jVejsPBdiUOZWQodtbq,0.42279056718627006,0.4548066347067923
22uyZjmZR0DX8FyrIwQl35,0.49220262835795736,0.5160897944889375
4uIE29yKjg7Cbw6aEXyxiK,0.6949352708864304,0.6840802365820244
4xqw8JSmfNdHLCuT23pHiv,0.6580077881966735,0.6203575039334307
5sF7hdYvhrcgNq8NZjfK8L,0.33343699047672365,0.41064221723652383
4ImN33OfhmbjjWBAB7pElK,0.5234083664050975,0.5048628812689765
34ngvjIBKbCL9ECqIhbxaZ,0.3716596033583085,0.409784074898073
1phRuf0KNLOFGzDVE2UYIv,0.32273216121712833,0.3545665930554015
4sVnlrSGaRwnBaj35C2wXu,0.4220552755913256,0.4891558965561935
0xRO7EKgYKVB8zKIoiXMDD,0.32283319557875534,0.39839402057363205
